Earliest Specimen Date,Nation,Pillar,Daily number of positive cases (new methodology),Cumulative number of positive cases (new methodology)
05/02/2020,Scotland,Pillar 1,0,0
05/02/2020,Wales,Pillar 1,0,0
05/02/2020,UK,Pillar 1,1,4
05/02/2020,England,Pillar 2,0,0
05/02/2020,Northern Ireland,Pillar 2,0,0
05/02/2020,Scotland,Pillar 2,0,0
05/02/2020,Wales,Pillar 2,0,0
05/02/2020,UK,Pillar 2,0,0
06/02/2020,England,Pillar 1,0,4
06/02/2020,Northern Ireland,Pillar 1,0,0
06/02/2020,Scotland,Pillar 1,0,0
06/02/2020,Wales,Pillar 1,0,0
06/02/2020,UK,Pillar 1,0,4
06/02/2020,England,Pillar 2,0,0
06/02/2020,Northern Ireland,Pillar 2,0,0
06/02/2020,Scotland,Pillar 2,0,0
06/02/2020,Wales,Pillar 2,0,0
06/02/2020,UK,Pillar 2,0,0
07/02/2020,England,Pillar 1,0,4
07/02/2020,Northern Ireland,Pillar 1,0,0
07/02/2020,Scotland,Pillar 1,0,0
07/02/2020,Wales,Pillar 1,0,0
07/02/2020,UK,Pillar 1,0,4
07/02/2020,England,Pillar 2,0,0
07/02/2020,Northern Ireland,Pillar 2,0,0
07/02/2020,Scotland,Pillar 2,0,0
07/02/2020,Wales,Pillar 2,0,0
07/02/2020,UK,Pillar 2,0,0
08/02/2020,England,Pillar 1,4,8
08/02/2020,Northern Ireland,Pillar 1,0,0
08/02/2020,Scotland,Pillar 1,0,0
08/02/2020,Wales,Pillar 1,0,0
08/02/2020,UK,Pillar 1,4,8
08/02/2020,England,Pillar 2,0,0
08/02/2020,Northern Ireland,Pillar 2,0,0
08/02/2020,Scotland,Pillar 2,0,0
08/02/2020,Wales,Pillar 2,0,0
08/02/2020,UK,Pillar 2,0,0
09/02/2020,England,Pillar 1,1,9
09/02/2020,Northern Ireland,Pillar 1,0,0
09/02/2020,Scotland,Pillar 1,0,0
09/02/2020,Wales,Pillar 1,0,0
09/02/2020,UK,Pillar 1,1,9
09/02/2020,England,Pillar 2,0,0
09/02/2020,Northern Ireland,Pillar 2,0,0
09/02/2020,Scotland,Pillar 2,0,0
09/02/2020,Wales,Pillar 2,0,0
09/02/2020,UK,Pillar 2,0,0
10/02/2020,England,Pillar 1,0,9
10/02/2020,Northern Ireland,Pillar 1,0,0
10/02/2020,Scotland,Pillar 1,0,0
10/02/2020,Wales,Pillar 1,0,0
10/02/2020,UK,Pillar 1,0,9
10/02/2020,England,Pillar 2,0,0
10/02/2020,Northern Ireland,Pillar 2,0,0
10/02/2020,Scotland,Pillar 2,0,0
10/02/2020,Wales,Pillar 2,0,0
10/02/2020,UK,Pillar 2,0,0
11/02/2020,England,Pillar 1,1,10
11/02/2020,Northern Ireland,Pillar 1,0,0
11/02/2020,Scotland,Pillar 1,0,0
11/02/2020,Wales,Pillar 1,0,0
11/02/2020,UK,Pillar 1,1,10
11/02/2020,England,Pillar 2,0,0
11/02/2020,Northern Ireland,Pillar 2,0,0
11/02/2020,Scotland,Pillar 2,0,0
11/02/2020,Wales,Pillar 2,0,0
11/02/2020,UK,Pillar 2,0,0
12/02/2020,England,Pillar 1,0,10
12/02/2020,Northern Ireland,Pillar 1,0,0
12/02/2020,Scotland,Pillar 1,0,0
12/02/2020,Wales,Pillar 1,0,0
12/02/2020,UK,Pillar 1,0,10
12/02/2020,England,Pillar 2,0,0
12/02/2020,Northern Ireland,Pillar 2,0,0
12/02/2020,Scotland,Pillar 2,0,0
12/02/2020,Wales,Pillar 2,0,0
12/02/2020,UK,Pillar 2,0,0
13/02/2020,England,Pillar 1,0,10
13/02/2020,Northern Ireland,Pillar 1,0,0
13/02/2020,Scotland,Pillar 1,0,0
13/02/2020,Wales,Pillar 1,0,0
13/02/2020,UK,Pillar 1,0,10
13/02/2020,England,Pillar 2,0,0
13/02/2020,Northern Ireland,Pillar 2,0,0
13/02/2020,Scotland,Pillar 2,0,0
13/02/2020,Wales,Pillar 2,0,0
13/02/2020,UK,Pillar 2,0,0
14/02/2020,England,Pillar 1,0,10
14/02/2020,Northern Ireland,Pillar 1,0,0
14/02/2020,Scotland,Pillar 1,0,0
14/02/2020,Wales,Pillar 1,0,0
14/02/2020,UK,Pillar 1,0,10
14/02/2020,England,Pillar 2,0,0
14/02/2020,Northern Ireland,Pillar 2,0,0
14/02/2020,Scotland,Pillar 2,0,0
14/02/2020,Wales,Pillar 2,0,0
14/02/2020,UK,Pillar 2,0,0
15/02/2020,England,Pillar 1,0,10
15/02/2020,Northern Ireland,Pillar 1,0,0
15/02/2020,Scotland,Pillar 1,0,0
15/02/2020,Wales,Pillar 1,0,0
15/02/2020,UK,Pillar 1,0,10
15/02/2020,England,Pillar 2,0,0
15/02/2020,Northern Ireland,Pillar 2,0,0
15/02/2020,Scotland,Pillar 2,0,0
15/02/2020,Wales,Pillar 2,0,0
15/02/2020,UK,Pillar 2,0,0
16/02/2020,England,Pillar 1,0,10
16/02/2020,Northern Ireland,Pillar 1,0,0
16/02/2020,Scotland,Pillar 1,0,0
16/02/2020,Wales,Pillar 1,0,0
16/02/2020,UK,Pillar 1,0,10
16/02/2020,England,Pillar 2,0,0
16/02/2020,Northern Ireland,Pillar 2,0,0
16/02/2020,Scotland,Pillar 2,0,0
16/02/2020,Wales,Pillar 2,0,0
16/02/2020,UK,Pillar 2,0,0
17/02/2020,England,Pillar 1,0,10
17/02/2020,Northern Ireland,Pillar 1,0,0
17/02/2020,Scotland,Pillar 1,0,0
17/02/2020,Wales,Pillar 1,0,0
17/02/2020,UK,Pillar 1,0,10
17/02/2020,England,Pillar 2,0,0
17/02/2020,Northern Ireland,Pillar 2,0,0
17/02/2020,Scotland,Pillar 2,0,0
17/02/2020,Wales,Pillar 2,0,0
17/02/2020,UK,Pillar 2,0,0
18/02/2020,England,Pillar 1,0,10
18/02/2020,Northern Ireland,Pillar 1,0,0
18/02/2020,Scotland,Pillar 1,0,0
18/02/2020,Wales,Pillar 1,0,0
18/02/2020,UK,Pillar 1,0,10
18/02/2020,England,Pillar 2,0,0
18/02/2020,Northern Ireland,Pillar 2,0,0
18/02/2020,Scotland,Pillar 2,0,0
18/02/2020,Wales,Pillar 2,0,0
18/02/2020,UK,Pillar 2,0,0
19/02/2020,England,Pillar 1,0,10
19/02/2020,Northern Ireland,Pillar 1,0,0
19/02/2020,Scotland,Pillar 1,0,0
19/02/2020,Wales,Pillar 1,0,0
19/02/2020,UK,Pillar 1,0,10
19/02/2020,England,Pillar 2,0,0
19/02/2020,Northern Ireland,Pillar 2,0,0
19/02/2020,Scotland,Pillar 2,0,0
19/02/2020,Wales,Pillar 2,0,0
19/02/2020,UK,Pillar 2,0,0
20/02/2020,England,Pillar 1,0,10
20/02/2020,Northern Ireland,Pillar 1,0,0
20/02/2020,Scotland,Pillar 1,0,0
20/02/2020,Wales,Pillar 1,0,0
20/02/2020,UK,Pillar 1,0,10
20/02/2020,England,Pillar 2,0,0
20/02/2020,Northern Ireland,Pillar 2,0,0
20/02/2020,Scotland,Pillar 2,0,0
20/02/2020,Wales,Pillar 2,0,0
20/02/2020,UK,Pillar 2,0,0
21/02/2020,England,Pillar 1,1,11
21/02/2020,Northern Ireland,Pillar 1,0,0
21/02/2020,Scotland,Pillar 1,0,0
21/02/2020,Wales,Pillar 1,0,0
21/02/2020,UK,Pillar 1,1,11
21/02/2020,England,Pillar 2,0,0
21/02/2020,Northern Ireland,Pillar 2,0,0
21/02/2020,Scotland,Pillar 2,0,0
21/02/2020,Wales,Pillar 2,0,0
21/02/2020,UK,Pillar 2,0,0
22/02/2020,England,Pillar 1,0,11
22/02/2020,Northern Ireland,Pillar 1,0,0
22/02/2020,Scotland,Pillar 1,0,0
22/02/2020,Wales,Pillar 1,0,0
22/02/2020,UK,Pillar 1,0,11
22/02/2020,England,Pillar 2,0,0
22/02/2020,Northern Ireland,Pillar 2,0,0
22/02/2020,Scotland,Pillar 2,0,0
22/02/2020,Wales,Pillar 2,0,0
22/02/2020,UK,Pillar 2,0,0
23/02/2020,England,Pillar 1,0,11
23/02/2020,Northern Ireland,Pillar 1,0,0
23/02/2020,Scotland,Pillar 1,0,0
23/02/2020,Wales,Pillar 1,0,0
23/02/2020,UK,Pillar 1,0,11
23/02/2020,England,Pillar 2,0,0
23/02/2020,Northern Ireland,Pillar 2,0,0
23/02/2020,Scotland,Pillar 2,0,0
23/02/2020,Wales,Pillar 2,0,0
23/02/2020,UK,Pillar 2,0,0
24/02/2020,England,Pillar 1,2,13
24/02/2020,Northern Ireland,Pillar 1,0,0
24/02/2020,Scotland,Pillar 1,0,0
24/02/2020,Wales,Pillar 1,0,0
24/02/2020,UK,Pillar 1,2,13
24/02/2020,England,Pillar 2,0,0
24/02/2020,Northern Ireland,Pillar 2,0,0
24/02/2020,Scotland,Pillar 2,0,0
24/02/2020,Wales,Pillar 2,0,0
24/02/2020,UK,Pillar 2,0,0
25/02/2020,England,Pillar 1,5,18
25/02/2020,Northern Ireland,Pillar 1,0,0
25/02/2020,Scotland,Pillar 1,0,0
25/02/2020,Wales,Pillar 1,0,0
25/02/2020,UK,Pillar 1,5,18
25/02/2020,England,Pillar 2,0,0
25/02/2020,Northern Ireland,Pillar 2,0,0
25/02/2020,Scotland,Pillar 2,0,0
25/02/2020,Wales,Pillar 2,0,0
25/02/2020,UK,Pillar 2,0,0
26/02/2020,England,Pillar 1,4,22
26/02/2020,Northern Ireland,Pillar 1,0,0
26/02/2020,Scotland,Pillar 1,0,0
26/02/2020,Wales,Pillar 1,0,0
26/02/2020,UK,Pillar 1,4,22
26/02/2020,England,Pillar 2,0,0
26/02/2020,Northern Ireland,Pillar 2,0,0
26/02/2020,Scotland,Pillar 2,0,0
26/02/2020,Wales,Pillar 2,0,0
26/02/2020,UK,Pillar 2,0,0
27/02/2020,England,Pillar 1,7,29
27/02/2020,Northern Ireland,Pillar 1,0,0
27/02/2020,Scotland,Pillar 1,0,0
27/02/2020,Wales,Pillar 1,1,1
27/02/2020,UK,Pillar 1,8,30
27/02/2020,England,Pillar 2,0,0
27/02/2020,Northern Ireland,Pillar 2,0,0
27/02/2020,Scotland,Pillar 2,0,0
27/02/2020,Wales,Pillar 2,0,0
27/02/2020,UK,Pillar 2,0,0
28/02/2020,England,Pillar 1,11,40
28/02/2020,Northern Ireland,Pillar 1,0,0
28/02/2020,Scotland,Pillar 1,1,1
28/02/2020,Wales,Pillar 1,0,1
28/02/2020,UK,Pillar 1,12,42
28/02/2020,England,Pillar 2,0,0
28/02/2020,Northern Ireland,Pillar 2,0,0
28/02/2020,Scotland,Pillar 2,0,0
28/02/2020,Wales,Pillar 2,0,0
28/02/2020,UK,Pillar 2,0,0
29/02/2020,England,Pillar 1,5,45
29/02/2020,Northern Ireland,Pillar 1,0,0
29/02/2020,Scotland,Pillar 1,0,1
29/02/2020,Wales,Pillar 1,0,1
29/02/2020,UK,Pillar 1,5,47
29/02/2020,England,Pillar 2,0,0
29/02/2020,Northern Ireland,Pillar 2,0,0
29/02/2020,Scotland,Pillar 2,0,0
29/02/2020,Wales,Pillar 2,0,0
29/02/2020,UK,Pillar 2,0,0
01/03/2020,England,Pillar 1,20,65
01/03/2020,Northern Ireland,Pillar 1,0,0
01/03/2020,Scotland,Pillar 1,2,3
01/03/2020,Wales,Pillar 1,0,1
01/03/2020,UK,Pillar 1,22,69
01/03/2020,England,Pillar 2,0,0
01/03/2020,Northern Ireland,Pillar 2,0,0
01/03/2020,Scotland,Pillar 2,0,0
01/03/2020,Wales,Pillar 2,0,0
01/03/2020,UK,Pillar 2,0,0
02/03/2020,England,Pillar 1,39,104
02/03/2020,Northern Ireland,Pillar 1,0,0
02/03/2020,Scotland,Pillar 1,1,4
02/03/2020,Wales,Pillar 1,0,1
02/03/2020,UK,Pillar 1,40,109
02/03/2020,England,Pillar 2,0,0
02/03/2020,Northern Ireland,Pillar 2,0,0
02/03/2020,Scotland,Pillar 2,0,0
02/03/2020,Wales,Pillar 2,0,0
02/03/2020,UK,Pillar 2,0,0
03/03/2020,England,Pillar 1,53,157
03/03/2020,Northern Ireland,Pillar 1,0,0
03/03/2020,Scotland,Pillar 1,3,7
03/03/2020,Wales,Pillar 1,0,1
03/03/2020,UK,Pillar 1,56,165
03/03/2020,England,Pillar 2,0,0
03/03/2020,Northern Ireland,Pillar 2,0,0
03/03/2020,Scotland,Pillar 2,0,0
03/03/2020,Wales,Pillar 2,0,0
03/03/2020,UK,Pillar 2,0,0
04/03/2020,England,Pillar 1,49,206
04/03/2020,Northern Ireland,Pillar 1,0,0
04/03/2020,Scotland,Pillar 1,6,13
04/03/2020,Wales,Pillar 1,1,2
04/03/2020,UK,Pillar 1,56,221
04/03/2020,England,Pillar 2,0,0
04/03/2020,Northern Ireland,Pillar 2,0,0
04/03/2020,Scotland,Pillar 2,0,0
04/03/2020,Wales,Pillar 2,0,0
04/03/2020,UK,Pillar 2,0,0
05/03/2020,England,Pillar 1,47,253
05/03/2020,Northern Ireland,Pillar 1,2,2
05/03/2020,Scotland,Pillar 1,2,15
05/03/2020,Wales,Pillar 1,0,2
05/03/2020,UK,Pillar 1,51,272
05/03/2020,England,Pillar 2,0,0
05/03/2020,Northern Ireland,Pillar 2,0,0
05/03/2020,Scotland,Pillar 2,0,0
05/03/2020,Wales,Pillar 2,0,0
05/03/2020,UK,Pillar 2,0,0
06/03/2020,England,Pillar 1,73,326
06/03/2020,Northern Ireland,Pillar 1,2,4
06/03/2020,Scotland,Pillar 1,6,21
06/03/2020,Wales,Pillar 1,0,2
06/03/2020,UK,Pillar 1,81,353
06/03/2020,England,Pillar 2,0,0
06/03/2020,Northern Ireland,Pillar 2,0,0
06/03/2020,Scotland,Pillar 2,0,0
06/03/2020,Wales,Pillar 2,0,0
06/03/2020,UK,Pillar 2,0,0
07/03/2020,England,Pillar 1,47,373
07/03/2020,Northern Ireland,Pillar 1,5,9
07/03/2020,Scotland,Pillar 1,6,27
07/03/2020,Wales,Pillar 1,2,4
07/03/2020,UK,Pillar 1,60,413
07/03/2020,England,Pillar 2,0,0
07/03/2020,Northern Ireland,Pillar 2,0,0
07/03/2020,Scotland,Pillar 2,0,0
07/03/2020,Wales,Pillar 2,0,0
07/03/2020,UK,Pillar 2,0,0
08/03/2020,England,Pillar 1,50,423
08/03/2020,Northern Ireland,Pillar 1,3,12
08/03/2020,Scotland,Pillar 1,3,30
08/03/2020,Wales,Pillar 1,1,5
08/03/2020,UK,Pillar 1,57,470
08/03/2020,England,Pillar 2,0,0
08/03/2020,Northern Ireland,Pillar 2,0,0
08/03/2020,Scotland,Pillar 2,0,0
08/03/2020,Wales,Pillar 2,0,0
08/03/2020,UK,Pillar 2,0,0
09/03/2020,England,Pillar 1,124,547
09/03/2020,Northern Ireland,Pillar 1,3,15
09/03/2020,Scotland,Pillar 1,18,48
09/03/2020,Wales,Pillar 1,3,8
09/03/2020,UK,Pillar 1,148,618
09/03/2020,England,Pillar 2,0,0
09/03/2020,Northern Ireland,Pillar 2,0,0
09/03/2020,Scotland,Pillar 2,0,0
09/03/2020,Wales,Pillar 2,0,0
09/03/2020,UK,Pillar 2,0,0
10/03/2020,England,Pillar 1,223,770
10/03/2020,Northern Ireland,Pillar 1,5,20
10/03/2020,Scotland,Pillar 1,19,67
10/03/2020,Wales,Pillar 1,12,20
10/03/2020,UK,Pillar 1,259,877
10/03/2020,England,Pillar 2,0,0
10/03/2020,Northern Ireland,Pillar 2,0,0
10/03/2020,Scotland,Pillar 2,0,0
10/03/2020,Wales,Pillar 2,0,0
10/03/2020,UK,Pillar 2,0,0
11/03/2020,England,Pillar 1,353,1123
11/03/2020,Northern Ireland,Pillar 1,11,31
11/03/2020,Scotland,Pillar 1,27,94
11/03/2020,Wales,Pillar 1,15,35
11/03/2020,UK,Pillar 1,406,1283
11/03/2020,England,Pillar 2,0,0
11/03/2020,Northern Ireland,Pillar 2,0,0
11/03/2020,Scotland,Pillar 2,0,0
11/03/2020,Wales,Pillar 2,0,0
11/03/2020,UK,Pillar 2,0,0
12/03/2020,England,Pillar 1,415,1538
12/03/2020,Northern Ireland,Pillar 1,4,35
12/03/2020,Scotland,Pillar 1,40,134
12/03/2020,Wales,Pillar 1,25,60
12/03/2020,UK,Pillar 1,484,1767
12/03/2020,England,Pillar 2,0,0
12/03/2020,Northern Ireland,Pillar 2,0,0
12/03/2020,Scotland,Pillar 2,0,0
12/03/2020,Wales,Pillar 2,0,0
12/03/2020,UK,Pillar 2,0,0
13/03/2020,England,Pillar 1,392,1930
13/03/2020,Northern Ireland,Pillar 1,11,46
13/03/2020,Scotland,Pillar 1,47,181
13/03/2020,Wales,Pillar 1,28,88
13/03/2020,UK,Pillar 1,478,2245
13/03/2020,England,Pillar 2,0,0
13/03/2020,Northern Ireland,Pillar 2,0,0
13/03/2020,Scotland,Pillar 2,0,0
13/03/2020,Wales,Pillar 2,0,0
13/03/2020,UK,Pillar 2,0,0
14/03/2020,England,Pillar 1,314,2244
14/03/2020,Northern Ireland,Pillar 1,10,56
14/03/2020,Scotland,Pillar 1,18,199
14/03/2020,Wales,Pillar 1,19,107
14/03/2020,UK,Pillar 1,361,2606
14/03/2020,England,Pillar 2,0,0
14/03/2020,Northern Ireland,Pillar 2,0,0
14/03/2020,Scotland,Pillar 2,0,0
14/03/2020,Wales,Pillar 2,0,0
14/03/2020,UK,Pillar 2,0,0
15/03/2020,England,Pillar 1,397,2641
15/03/2020,Northern Ireland,Pillar 1,2,58
15/03/2020,Scotland,Pillar 1,11,210
15/03/2020,Wales,Pillar 1,32,139
15/03/2020,UK,Pillar 1,442,3048
15/03/2020,England,Pillar 2,0,0
15/03/2020,Northern Ireland,Pillar 2,0,0
15/03/2020,Scotland,Pillar 2,0,0
15/03/2020,Wales,Pillar 2,0,0
15/03/2020,UK,Pillar 2,0,0
16/03/2020,England,Pillar 1,546,3187
16/03/2020,Northern Ireland,Pillar 1,8,66
16/03/2020,Scotland,Pillar 1,21,231
16/03/2020,Wales,Pillar 1,37,176
16/03/2020,UK,Pillar 1,612,3660
16/03/2020,England,Pillar 2,0,0
16/03/2020,Northern Ireland,Pillar 2,0,0
16/03/2020,Scotland,Pillar 2,0,0
16/03/2020,Wales,Pillar 2,0,0
16/03/2020,UK,Pillar 2,0,0
17/03/2020,England,Pillar 1,680,3867
17/03/2020,Northern Ireland,Pillar 1,9,75
17/03/2020,Scotland,Pillar 1,43,274
17/03/2020,Wales,Pillar 1,37,213
17/03/2020,UK,Pillar 1,769,4429
17/03/2020,England,Pillar 2,0,0
17/03/2020,Northern Ireland,Pillar 2,0,0
17/03/2020,Scotland,Pillar 2,0,0
17/03/2020,Wales,Pillar 2,0,0
17/03/2020,UK,Pillar 2,0,0
18/03/2020,England,Pillar 1,909,4776
18/03/2020,Northern Ireland,Pillar 1,13,88
18/03/2020,Scotland,Pillar 1,41,315
18/03/2020,Wales,Pillar 1,36,249
18/03/2020,UK,Pillar 1,999,5428
18/03/2020,England,Pillar 2,0,0
18/03/2020,Northern Ireland,Pillar 2,0,0
18/03/2020,Scotland,Pillar 2,0,0
18/03/2020,Wales,Pillar 2,0,0
18/03/2020,UK,Pillar 2,0,0
19/03/2020,England,Pillar 1,931,5707
19/03/2020,Northern Ireland,Pillar 1,14,102
19/03/2020,Scotland,Pillar 1,50,365
19/03/2020,Wales,Pillar 1,60,309
19/03/2020,UK,Pillar 1,1055,6483
19/03/2020,England,Pillar 2,0,0
19/03/2020,Northern Ireland,Pillar 2,0,0
19/03/2020,Scotland,Pillar 2,0,0
19/03/2020,Wales,Pillar 2,0,0
19/03/2020,UK,Pillar 2,0,0
20/03/2020,England,Pillar 1,1081,6788
20/03/2020,Northern Ireland,Pillar 1,17,119
20/03/2020,Scotland,Pillar 1,82,447
20/03/2020,Wales,Pillar 1,73,382
20/03/2020,UK,Pillar 1,1253,7736
20/03/2020,England,Pillar 2,0,0
20/03/2020,Northern Ireland,Pillar 2,0,0
20/03/2020,Scotland,Pillar 2,0,0
20/03/2020,Wales,Pillar 2,0,0
20/03/2020,UK,Pillar 2,0,0
21/03/2020,England,Pillar 1,1036,7824
21/03/2020,Northern Ireland,Pillar 1,21,140
21/03/2020,Scotland,Pillar 1,66,513
21/03/2020,Wales,Pillar 1,75,457
21/03/2020,UK,Pillar 1,1198,8934
21/03/2020,England,Pillar 2,0,0
21/03/2020,Northern Ireland,Pillar 2,0,0
21/03/2020,Scotland,Pillar 2,0,0
21/03/2020,Wales,Pillar 2,0,0
21/03/2020,UK,Pillar 2,0,0
22/03/2020,England,Pillar 1,1208,9032
22/03/2020,Northern Ireland,Pillar 1,18,158
22/03/2020,Scotland,Pillar 1,75,588
22/03/2020,Wales,Pillar 1,76,533
22/03/2020,UK,Pillar 1,1377,10311
22/03/2020,England,Pillar 2,0,0
22/03/2020,Northern Ireland,Pillar 2,0,0
22/03/2020,Scotland,Pillar 2,0,0
22/03/2020,Wales,Pillar 2,0,0
22/03/2020,UK,Pillar 2,0,0
23/03/2020,England,Pillar 1,2019,11051
23/03/2020,Northern Ireland,Pillar 1,41,199
23/03/2020,Scotland,Pillar 1,145,733
23/03/2020,Wales,Pillar 1,133,666
23/03/2020,UK,Pillar 1,2338,12649
23/03/2020,England,Pillar 2,0,0
23/03/2020,Northern Ireland,Pillar 2,0,0
23/03/2020,Scotland,Pillar 2,0,0
23/03/2020,Wales,Pillar 2,0,0
23/03/2020,UK,Pillar 2,0,0
24/03/2020,England,Pillar 1,2025,13076
24/03/2020,Northern Ireland,Pillar 1,41,240
24/03/2020,Scotland,Pillar 1,169,902
24/03/2020,Wales,Pillar 1,141,807
24/03/2020,UK,Pillar 1,2376,15025
24/03/2020,England,Pillar 2,0,0
24/03/2020,Northern Ireland,Pillar 2,0,0
24/03/2020,Scotland,Pillar 2,0,0
24/03/2020,Wales,Pillar 2,0,0
24/03/2020,UK,Pillar 2,0,0
25/03/2020,England,Pillar 1,2265,15341
25/03/2020,Northern Ireland,Pillar 1,57,297
25/03/2020,Scotland,Pillar 1,181,1083
25/03/2020,Wales,Pillar 1,190,997
25/03/2020,UK,Pillar 1,2693,17718
25/03/2020,England,Pillar 2,0,0
25/03/2020,Northern Ireland,Pillar 2,0,0
25/03/2020,Scotland,Pillar 2,0,0
25/03/2020,Wales,Pillar 2,0,0
25/03/2020,UK,Pillar 2,0,0
26/03/2020,England,Pillar 1,2613,17954
26/03/2020,Northern Ireland,Pillar 1,76,373
26/03/2020,Scotland,Pillar 1,221,1304
26/03/2020,Wales,Pillar 1,177,1174
26/03/2020,UK,Pillar 1,3087,20805
26/03/2020,England,Pillar 2,0,0
26/03/2020,Northern Ireland,Pillar 2,0,0
26/03/2020,Scotland,Pillar 2,0,0
26/03/2020,Wales,Pillar 2,0,0
26/03/2020,UK,Pillar 2,0,0
27/03/2020,England,Pillar 1,2663,20617
27/03/2020,Northern Ireland,Pillar 1,68,441
27/03/2020,Scotland,Pillar 1,274,1578
27/03/2020,Wales,Pillar 1,193,1367
27/03/2020,UK,Pillar 1,3198,24003
27/03/2020,England,Pillar 2,0,0
27/03/2020,Northern Ireland,Pillar 2,0,0
27/03/2020,Scotland,Pillar 2,0,0
27/03/2020,Wales,Pillar 2,0,0
27/03/2020,UK,Pillar 2,0,0
28/03/2020,England,Pillar 1,2376,22993
28/03/2020,Northern Ireland,Pillar 1,76,517
28/03/2020,Scotland,Pillar 1,205,1783
28/03/2020,Wales,Pillar 1,167,1534
28/03/2020,UK,Pillar 1,2824,26827
28/03/2020,England,Pillar 2,0,0
28/03/2020,Northern Ireland,Pillar 2,0,0
28/03/2020,Scotland,Pillar 2,0,0
28/03/2020,Wales,Pillar 2,0,0
28/03/2020,UK,Pillar 2,0,0
29/03/2020,England,Pillar 1,2436,25429
29/03/2020,Northern Ireland,Pillar 1,62,579
29/03/2020,Scotland,Pillar 1,197,1980
29/03/2020,Wales,Pillar 1,159,1693
29/03/2020,UK,Pillar 1,2854,29681
29/03/2020,England,Pillar 2,4,4
29/03/2020,Northern Ireland,Pillar 2,0,0
29/03/2020,Scotland,Pillar 2,0,0
29/03/2020,Wales,Pillar 2,0,0
29/03/2020,UK,Pillar 2,4,4
30/03/2020,England,Pillar 1,3519,28948
30/03/2020,Northern Ireland,Pillar 1,84,663
30/03/2020,Scotland,Pillar 1,321,2301
30/03/2020,Wales,Pillar 1,343,2036
30/03/2020,UK,Pillar 1,4267,33948
30/03/2020,England,Pillar 2,8,12
30/03/2020,Northern Ireland,Pillar 2,0,0
30/03/2020,Scotland,Pillar 2,0,0
30/03/2020,Wales,Pillar 2,0,0
30/03/2020,UK,Pillar 2,8,12
31/03/2020,England,Pillar 1,3770,32718
31/03/2020,Northern Ireland,Pillar 1,112,775
31/03/2020,Scotland,Pillar 1,340,2641
31/03/2020,Wales,Pillar 1,277,2313
31/03/2020,UK,Pillar 1,4499,38447
31/03/2020,England,Pillar 2,20,32
